cnpj,cgf,razaoSocial,regime,cadastro_dominio
50112998000194,71220550,NOVA EMPORIO EN LTDA,NORMAL,233
49867539000131,71278095,P E BRILHANTE RESTAURANTE LTDA - ME,MICROEMPRESA,210
29159044000140,67423221,DA TERRA INDUSTRIA DE PRODUTOS OPTICOS LTDA - EPP,EPP,616
49818635000190,71188738,IDEAL TRANSPORTADORA LTDA - ME,MICROEMPRESA,783
49711846000129,71160825,M. A. SILVA BARBOSA,MICROEMPRESA,413
50551718000144,71281991,HV ARAUJO DISTRIBUIDORA LTDA - ME,MICROEMPRESA,227
50581444000136,71299866,NOVA EMPORIO INDT LTDA - ME,NORMAL,229
49711846000129,71160825,M. A. SILVA BARBOSA,MICROEMPRESA,413
49385622000174,71119353,ACO ESTRUTURAL LTDA - ME,MICROEMPRESA,195
49287663000128,71131078,L R CARVALHO E CIA LTDA - EPP,EPP,270
48990719000143,71132155,LUIS C DO NASCIMENTO SERVICOS EM MOVEIS,MICROEMPRESA,187
48964174000109,71039333,A C PRODUTOS DE LIMPEZA E DESCARTAVEIS LTDA,NORMAL,858
28775766000167,66946590,CDI PRODUTOS FARMACEUTICOS LTDA,MICROEMPRESA,111
08242533000191,64833950,REALIZA CONSTRUCOES E SERVICOS LTDA,MICROEMPRESA,561
05132687000132,66674875,P E BRILHANTE DE MENEZES ME,OUTROS,181
48990719000143,71132155,LUIS C DO NASCIMENTO SERVICOS EM MOVEIS,MICROEMPRESA,187
48964174000109,71039333,A C PRODUTOS DE LIMPEZA E DESCARTAVEIS LTDA,NORMAL,858
28775766000167,66946590,CDI PRODUTOS FARMACEUTICOS LTDA,MICROEMPRESA,111
08242533000191,64833950,REALIZA CONSTRUCOES E SERVICOS LTDA,MICROEMPRESA,561
05132687000132,66674875,P E BRILHANTE DE MENEZES ME,OUTROS,181
48929267000194,72704705,CEARA GOURMET SERVICOS DE ALIMENTACAO LTDA,MICROEMPRESA,751
48472308000166,70953899,JUNIOR CAR MECANICA ESPECIALIZADA LTDA,MICROEMPRESA,244
12981026000228,61682918,MERCANTIL SUPER CUMBUCO LTDA,NORMAL,157
48465634000146,70971650,CARIOCA VARIEDADES LTDA - ME,MICROEMPRESA,173
48472308000166,70953899,JUNIOR CAR MECANICA ESPECIALIZADA LTDA,MICROEMPRESA,244
12981026000228,61682918,MERCANTIL SUPER CUMBUCO LTDA,NORMAL,157
51899757000108,71696199,RAIMUNDA RAULINO DO NASCIMENTO SILVA BEBIDAS E MERCEARIA,MICROEMPRESA,573
48465634000146,70971650,CARIOCA VARIEDADES LTDA - ME,MICROEMPRESA,173
48198686000101,71519416,C M COMERCIO E VESTUARIO LTDA,NORMAL,641
27040637000249,73111619,VILA ACAI LTDA ME,MICROEMPRESA,42
27040637000168,66425492,VILA ACAI LTDA ME,MICROEMPRESA,41
07873084000117,61919462,A L B COMERCIO DE CALCADOS LTDA,EPP,479
27040637000168,66425492,VILA ACAI LTDA ME,MICROEMPRESA,41
07873084000117,61919462,A L B COMERCIO DE CALCADOS LTDA,EPP,479
47497381000120,70797366,M E DE SOUSA SERVICOS DE CONSULTORIA,OUTROS,673
47241407000174,70771863,DROGARIA FARMA CEZAR LTDA,MICROEMPRESA,373
26628707000130,72806893,ENGMAN SERVICOS DE ENGENHARIA E MANUTENCAO LTDA,OUTROS,844
07873084000460,66114080,A L B COMERCIO DE CALCADOS LTDA,EPP,481
47241407000255,72116153,DROGARIA FARMA CEZAR LTDA,MICROEMPRESA,519
